Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
P1,10.02.2019,CD Feirense,Sporting CP,1,3,A,0,1,A,10,6,5,5,19,25,8,6,6,2,0,0
P1,10.02.2019,SC Braga,GD Chaves,2,1,H,0,0,D,15,9,6,2,10,10,8,3,2,2,0,0
P1,11.02.2019,Vitória de Setúbal,Os Belenenses,0,0,D,0,0,D,8,9,3,2,26,18,5,2,2,3,0,1
P1,15.02.2019,Rio Ave FC,Santa Clara,1,2,A,1,1,D,15,9,4,4,16,14,7,0,2,2,0,0
P1,16.02.2019,Vitória Guimarães,Portimonense SC,2,0,H,1,0,H,14,9,9,1,13,23,2,3,2,4,0,0
P1,16.02.2019,CD Nacional,CD Feirense,4,0,H,1,0,H,12,6,6,0,17,17,2,5,1,4,0,0
P1,16.02.2019,FC Porto,Vitória de Setúbal,2,0,H,1,0,H,20,3,6,0,16,7,7,2,3,5,0,1
P1,17.02.2019,Os Belenenses,Clube Sport Marítimo,0,1,A,0,0,D,15,14,1,5,14,17,6,3,4,1,0,0
P1,17.02.2019,GD Chaves,Boavista FC,1,1,D,1,0,H,14,13,3,5,14,12,10,8,2,2,0,0
P1,17.02.2019,Moreirense FC,CD Tondela,2,0,H,1,0,H,12,8,5,2,14,18,7,9,2,1,0,0
P1,17.02.2019,Sporting CP,SC Braga,3,0,H,1,0,H,13,5,7,1,21,18,5,2,5,3,0,0
P1,18.02.2019,CD Aves,SL Benfica,0,3,A,0,2,A,15,12,4,6,15,16,8,6,1,3,0,1
P1,22.02.2019,SC Braga,Os Belenenses,0,2,A,0,1,A,17,6,5,4,10,10,12,3,1,3,0,0
P1,22.02.2019,CD Tondela,FC Porto,0,3,A,0,1,A,11,15,2,5,13,25,3,6,1,1,0,0
P1,23.02.2019,CD Feirense,Moreirense FC,1,3,A,0,2,A,11,10,4,5,24,17,5,5,2,0,0,0
P1,23.02.2019,Portimonense SC,CD Aves,1,1,D,0,1,A,11,7,5,2,15,21,5,6,2,3,0,0
P1,23.02.2019,Vitória de Setúbal,Vitória Guimarães,1,1,D,0,1,A,14,21,5,6,16,19,5,7,2,4,0,1
P1,24.02.2019,Boavista FC,Rio Ave FC,1,0,H,1,0,H,7,16,5,4,21,20,4,10,4,5,0,2
P1,24.02.2019,Santa Clara,CD Nacional,2,0,H,0,0,D,7,13,3,3,22,12,7,3,3,4,0,1
P1,25.02.2019,SL Benfica,GD Chaves,4,0,H,3,0,H,25,5,11,2,12,14,5,2,3,3,0,0
P1,25.02.2019,Clube Sport Marítimo,Sporting CP,0,0,D,0,0,D,6,17,2,5,17,11,1,7,5,5,0,1
P1,1.03.2019,CD Aves,Boavista FC,2,0,H,0,0,D,22,3,7,1,14,19,4,3,2,3,0,0
P1,2.03.2019,Moreirense FC,Vitória de Setúbal,1,1,D,1,1,D,14,5,2,1,19,16,8,3,2,4,1,0
P1,2.03.2019,CD Nacional,CD Tondela,3,2,H,1,1,D,19,13,6,4,11,22,8,7,2,4,0,0
P1,2.03.2019,FC Porto,SL Benfica,1,2,A,1,1,D,21,9,7,4,12,21,4,3,2,6,0,1
P1,3.03.2019,Os Belenenses,CD Feirense,4,0,H,2,0,H,12,13,6,2,18,22,3,1,1,1,0,0
P1,3.03.2019,GD Chaves,Santa Clara,0,0,D,0,0,D,11,7,2,1,22,18,9,3,2,3,0,0
P1,3.03.2019,Rio Ave FC,SC Braga,1,2,A,0,0,D,8,14,2,3,11,17,1,6,3,4,1,0
P1,3.03.2019,Sporting CP,Portimonense SC,3,1,H,2,1,H,15,15,5,7,20,18,8,7,3,2,0,0
P1,4.03.2019,Vitória Guimarães,Clube Sport Marítimo,1,0,H,0,0,D,18,15,7,4,20,9,11,6,4,1,0,0
P1,8.03.2019,GD Chaves,Rio Ave FC,1,1,D,0,1,A,20,7,5,1,18,17,11,5,4,8,0,1
P1,9.03.2019,Boavista FC,Sporting CP,1,2,A,1,1,D,7,22,2,4,23,15,7,11,4,1,0,0
P1,9.03.2019,Clube Sport Marítimo,Moreirense FC,3,2,H,1,2,A,12,15,4,5,24,17,4,4,2,1,0,0
