Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
D1,2.02.2019,FC Schalke 04 04,Borussia Mönchengladbach,0,2,A,0,0,D,9,16,1,9,9,8,1,6,1,2,1,0
D1,3.02.2019,FC Augsburg,1. FSV Mainz 05,3,0,H,2,0,H,19,6,8,0,18,10,7,3,0,1,0,0
D1,3.02.2019,VfB Stuttgart,SC Freiburg,2,2,D,0,1,A,17,16,4,4,8,9,7,8,5,0,1,0
D1,8.02.2019,1. FSV Mainz 05,Bayer 04 Leverkusen,1,5,A,1,4,A,15,18,2,7,13,5,4,4,3,1,0,0
D1,9.02.2019,FC Bayern München,FC Schalke 04 04,3,1,H,2,1,H,17,7,4,5,8,9,7,2,1,2,0,0
D1,9.02.2019,Borussia Dortmund,TSG 1899 Hoffenheim,3,3,D,2,0,H,16,14,7,6,7,14,7,8,0,3,0,0
D1,9.02.2019,SC Freiburg,VfL Wolfsburg,3,3,D,1,1,D,10,15,4,4,15,10,9,2,3,2,0,0
D1,9.02.2019,Hannover 96,1. FC Nürnberg,2,0,H,1,0,H,18,9,8,1,16,16,4,4,2,2,0,1
D1,9.02.2019,Borussia Mönchengladbach,Hertha BSC,0,3,A,0,1,A,13,11,4,4,7,11,5,5,0,2,0,0
D1,9.02.2019,RB Leipzig,Eintracht Frankfurt,0,0,D,0,0,D,14,6,1,2,9,10,7,4,4,2,0,0
D1,10.02.2019,Fortuna Düsseldorf,VfB Stuttgart,3,0,H,1,0,H,15,15,6,2,18,8,5,4,3,4,0,1
D1,10.02.2019,SV Werder Bremen,FC Augsburg,4,0,H,3,0,H,11,13,5,3,5,12,3,2,0,1,0,0
D1,15.02.2019,FC Augsburg,FC Bayern München,2,3,A,2,2,D,8,17,2,8,13,12,1,9,1,2,0,0
D1,16.02.2019,Hertha BSC,SV Werder Bremen,1,1,D,1,0,H,11,8,2,2,16,11,4,3,3,3,0,0
D1,16.02.2019,TSG 1899 Hoffenheim,Hannover 96,3,0,H,2,0,H,26,5,11,1,15,6,10,6,0,1,0,0
