Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
N1,16.12.2018,Ajax,De Graafschap,8,0,H,3,0,H,35,3,17,2,3,11,14,2,0,1,0,0
N1,16.12.2018,Feyenoord,Fortuna Sittard,0,2,A,0,0,D,26,11,8,4,9,12,9,4,1,0,0,0
N1,16.12.2018,FC Groningen,FC Emmen,1,2,A,0,0,D,11,13,5,3,7,6,5,6,1,1,0,0
N1,16.12.2018,SC Heerenveen,FC Utrecht,2,3,A,0,3,A,10,9,6,3,14,8,5,7,0,2,0,0
N1,21.12.2018,VVV-Venlo,PEC Zwolle,2,0,H,1,0,H,19,8,6,1,13,12,5,6,2,1,0,1
N1,22.12.2018,Excelsior,Heracles Almelo,0,3,A,0,2,A,13,22,4,6,12,9,2,5,1,1,0,0
N1,22.12.2018,Fortuna Sittard,FC Groningen,0,0,D,0,0,D,13,15,4,5,7,15,6,7,1,2,1,0
N1,22.12.2018,NAC Breda,SC Heerenveen,4,2,H,1,2,A,32,8,12,4,11,7,8,1,2,2,0,2
N1,22.12.2018,PSV,AZ Alkmaar,3,1,H,1,1,D,14,11,8,4,8,14,4,8,4,5,0,0
N1,23.12.2018,ADO Den Haag,Feyenoord,2,2,D,1,1,D,13,14,5,6,6,10,9,9,1,3,0,1
N1,23.12.2018,FC Emmen,Willem II,0,2,A,0,1,A,11,10,2,3,13,8,6,3,0,0,0,0
N1,23.12.2018,De Graafschap,Vitesse,2,2,D,1,1,D,14,21,5,7,15,10,6,4,2,4,0,0
N1,23.12.2018,FC Utrecht,Ajax,1,3,A,0,1,A,8,17,2,7,12,8,5,9,2,2,0,0
N1,18.01.2019,Vitesse,Excelsior,3,2,H,2,0,H,16,9,9,2,11,9,7,3,2,1,0,0
N1,19.01.2019,AZ Alkmaar,FC Utrecht,3,0,H,2,0,H,10,14,3,4,21,8,4,5,0,3,0,0
N1,19.01.2019,ADO Den Haag,VVV-Venlo,2,4,A,1,1,D,20,16,8,8,10,12,11,7,0,1,1,0
N1,19.01.2019,FC Groningen,Heracles Almelo,3,0,H,1,0,H,18,7,6,2,17,19,5,1,2,1,0,0
N1,19.01.2019,PEC Zwolle,Feyenoord,3,1,H,1,1,D,15,13,7,6,11,8,9,4,1,2,0,0
N1,20.01.2019,Ajax,SC Heerenveen,4,4,D,3,1,H,27,12,9,9,7,12,11,4,0,1,0,0
N1,20.01.2019,FC Emmen,PSV,2,2,D,0,1,A,6,14,2,4,18,9,2,7,1,3,0,0
N1,20.01.2019,De Graafschap,Fortuna Sittard,5,1,H,3,0,H,18,7,9,3,10,21,8,2,1,5,0,0
N1,20.01.2019,Willem II,NAC Breda,2,0,H,1,0,H,11,4,4,0,7,14,8,3,1,0,0,1
N1,25.01.2019,NAC Breda,ADO Den Haag,1,1,D,0,1,A,20,8,4,2,12,8,8,4,0,0,0,0
N1,26.01.2019,Excelsior,De Graafschap,2,0,H,0,0,D,7,13,2,3,8,13,0,10,1,2,0,0
N1,26.01.2019,Heracles Almelo,PEC Zwolle,0,2,A,0,1,A,15,9,4,4,11,17,8,5,3,4,0,0
N1,26.01.2019,PSV,FC Groningen,2,1,H,2,1,H,12,5,6,1,6,12,8,5,1,4,0,0
N1,26.01.2019,VVV-Venlo,FC Emmen,2,3,A,1,1,D,16,11,7,5,14,15,6,0,2,2,0,0
N1,27.01.2019,Feyenoord,Ajax,6,2,H,3,2,H,20,15,9,7,11,14,4,5,0,0,0,0
N1,27.01.2019,Fortuna Sittard,Vitesse,2,1,H,0,1,A,16,11,6,5,11,16,5,10,4,2,0,0
N1,27.01.2019,SC Heerenveen,AZ Alkmaar,0,2,A,0,0,D,5,21,0,8,18,7,3,8,3,2,0,0
N1,27.01.2019,FC Utrecht,Willem II,0,1,A,0,0,D,18,7,5,2,8,11,8,2,0,2,0,0
N1,1.02.2019,De Graafschap,NAC Breda,3,0,H,1,0,H,23,10,11,2,9,15,8,4,0,0,0,0
N1,2.02.2019,Ajax,VVV-Venlo,6,0,H,1,0,H,23,4,11,1,7,13,4,0,0,1,0,0
N1,2.02.2019,AZ Alkmaar,FC Emmen,5,0,H,3,0,H,20,3,9,0,9,12,9,6,0,1,0,0
N1,2.02.2019,Vitesse,SC Heerenveen,2,2,D,1,1,D,13,14,3,6,9,8,4,4,3,0,0,0
N1,2.02.2019,Willem II,FC Groningen,1,2,A,0,2,A,13,12,4,5,7,15,11,5,1,3,0,0
N1,3.02.2019,ADO Den Haag,Heracles Almelo,2,0,H,0,0,D,14,11,7,3,14,12,6,7,3,2,0,0
N1,3.02.2019,Excelsior,Feyenoord,2,1,H,0,0,D,10,13,5,5,7,14,3,8,2,1,0,0
N1,3.02.2019,PSV,Fortuna Sittard,5,0,H,1,0,H,20,7,11,0,19,10,10,6,2,4,0,1
N1,3.02.2019,PEC Zwolle,FC Utrecht,4,3,H,1,1,D,19,10,5,4,14,9,7,3,3,4,0,2
N1,8.02.2019,NAC Breda,AZ Alkmaar,0,3,A,0,1,A,10,16,3,8,10,11,1,5,2,1,0,0
N1,9.02.2019,Feyenoord,De Graafschap,4,0,H,1,0,H,28,13,16,2,6,7,2,4,0,1,0,0
N1,9.02.2019,SC Heerenveen,PEC Zwolle,1,1,D,1,1,D,8,14,4,6,13,13,3,9,0,0,0,0
N1,9.02.2019,Heracles Almelo,Ajax,1,0,H,1,0,H,8,22,2,7,19,12,8,10,1,1,0,0
N1,9.02.2019,VVV-Venlo,Willem II,2,1,H,1,0,H,15,10,6,5,16,11,2,6,3,1,0,0
N1,10.02.2019,FC Emmen,ADO Den Haag,3,2,H,2,0,H,15,12,6,3,15,9,3,5,1,2,0,0
N1,10.02.2019,Fortuna Sittard,Excelsior,4,1,H,2,0,H,12,18,6,7,15,16,3,7,2,2,0,0
N1,10.02.2019,FC Groningen,Vitesse,2,1,H,1,1,D,8,7,3,1,9,5,4,4,1,0,0,0
N1,10.02.2019,FC Utrecht,PSV,2,2,D,2,0,H,6,23,3,4,11,2,2,11,1,1,0,0
N1,15.02.2019,ADO Den Haag,PEC Zwolle,1,0,H,1,0,H,4,12,2,4,10,8,2,4,1,3,0,1
N1,16.02.2019,AZ Alkmaar,VVV-Venlo,3,0,H,2,0,H,19,12,10,2,10,10,9,3,2,1,0,0
N1,16.02.2019,SC Heerenveen,PSV,2,2,D,2,0,H,10,24,3,7,14,9,2,7,2,0,0,0
N1,16.02.2019,Heracles Almelo,Fortuna Sittard,6,0,H,1,0,H,22,11,12,5,12,7,4,3,3,0,0,0
N1,16.02.2019,Vitesse,Willem II,3,2,H,1,0,H,20,13,9,5,14,12,5,9,3,3,0,0
N1,17.02.2019,Ajax,NAC Breda,5,0,H,1,0,H,33,6,11,2,9,15,13,2,1,3,0,0
N1,17.02.2019,Excelsior,FC Emmen,2,1,H,0,0,D,12,14,6,5,7,16,4,7,0,0,0,0
N1,17.02.2019,De Graafschap,FC Utrecht,0,1,A,0,0,D,14,9,3,3,15,10,6,5,1,0,0,0
N1,17.02.2019,FC Groningen,Feyenoord,1,0,H,1,0,H,21,4,7,1,11,8,5,3,0,1,0,0
N1,22.02.2019,VVV-Venlo,Heracles Almelo,0,1,A,0,0,D,28,6,6,3,12,16,7,3,2,4,0,0
N1,23.02.2019,Fortuna Sittard,SC Heerenveen,2,4,A,2,1,H,12,22,4,12,8,12,2,10,4,1,1,0
N1,23.02.2019,NAC Breda,FC Groningen,0,0,D,0,0,D,13,13,2,3,7,13,4,7,1,1,0,0
N1,23.02.2019,FC Utrecht,Excelsior,0,0,D,0,0,D,29,3,8,2,9,12,9,1,1,3,0,0
N1,23.02.2019,PEC Zwolle,De Graafschap,0,3,A,0,1,A,12,11,3,5,8,13,9,2,1,1,0,1
N1,24.02.2019,ADO Den Haag,Ajax,1,5,A,1,2,A,10,17,1,11,10,14,3,8,1,1,0,0
N1,24.02.2019,FC Emmen,Vitesse,0,3,A,0,1,A,4,18,1,7,16,12,8,5,3,2,0,0
N1,24.02.2019,PSV,Feyenoord,1,1,D,0,0,D,20,14,10,6,9,15,6,7,0,4,0,1
N1,24.02.2019,Willem II,AZ Alkmaar,2,1,H,2,0,H,13,10,6,5,12,10,7,5,0,3,0,0
N1,1.03.2019,De Graafschap,ADO Den Haag,1,1,D,0,1,A,14,14,2,3,6,10,8,4,0,2,0,0
N1,2.03.2019,Excelsior,PSV,0,2,A,0,1,A,7,18,1,6,5,9,3,7,0,1,0,0
N1,2.03.2019,Heracles Almelo,FC Utrecht,1,5,A,0,1,A,8,16,3,8,12,12,5,4,2,0,1,0
N1,2.03.2019,Vitesse,NAC Breda,4,1,H,0,1,A,21,6,8,4,12,13,11,2,1,3,0,1
N1,3.03.2019,AZ Alkmaar,Fortuna Sittard,4,2,H,1,2,A,21,10,6,6,9,8,9,4,0,1,0,0
N1,3.03.2019,Feyenoord,FC Emmen,4,0,H,1,0,H,23,11,11,3,8,13,8,2,0,1,0,0
N1,3.03.2019,FC Groningen,VVV-Venlo,3,2,H,2,1,H,18,8,7,2,10,14,6,3,2,1,1,1
N1,3.03.2019,SC Heerenveen,Willem II,4,2,H,3,0,H,11,14,5,5,11,10,10,3,0,1,0,1
N1,8.03.2019,FC Utrecht,FC Groningen,0,0,D,0,0,D,15,11,3,3,9,10,9,7,1,4,0,0
N1,9.03.2019,ADO Den Haag,SC Heerenveen,2,3,A,0,1,A,19,16,7,9,10,10,8,4,2,1,0,0
N1,9.03.2019,PSV,NAC Breda,2,0,H,1,0,H,20,5,7,0,10,11,8,4,2,0,0,0
N1,9.03.2019,VVV-Venlo,Excelsior,1,0,H,1,0,H,16,13,6,3,15,13,7,5,3,4,0,0
N1,9.03.2019,Willem II,De Graafschap,3,2,H,2,1,H,18,6,9,2,11,24,9,6,1,4,0,0
