,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2762,Newcastle United,Wolverhampton Wanderers,1,2,A
2763,Everton,Watford,2,2,D
2764,Crystal Palace,Leicester City,1,0,H
2765,Fulham,West Ham United,0,2,A
2766,Huddersfield Town,Newcastle United,0,1,A
2767,Manchester City,Everton,3,1,H
2768,Tottenham Hotspur,Burnley,1,0,H
2769,Watford,Cardiff City,3,2,H
2770,Wolverhampton Wanderers,Bournemouth,2,0,H
2771,Brighton & Hove Albion,Chelsea,1,2,A
2772,Liverpool,Manchester United,3,1,H
2773,Southampton,Arsenal,3,2,H
2774,Wolverhampton Wanderers,Liverpool,0,2,A
2775,Arsenal,Burnley,3,1,H
2776,Bournemouth,Brighton & Hove Albion,2,0,H
2777,Cardiff City,Manchester United,1,5,A
2778,Chelsea,Leicester City,0,1,A
2779,Huddersfield Town,Southampton,1,3,A
2780,Manchester City,Crystal Palace,2,3,A
2781,Newcastle United,Fulham,0,0,D
2782,West Ham United,Watford,0,2,A
2783,Everton,Tottenham Hotspur,2,6,A
2784,Brighton & Hove Albion,Arsenal,1,1,D
2785,Burnley,Everton,1,5,A
2786,Crystal Palace,Cardiff City,0,0,D
2787,Fulham,Wolverhampton Wanderers,1,1,D
2788,Leicester City,Manchester City,2,1,H
2789,Liverpool,Newcastle United,4,0,H
2790,Manchester United,Huddersfield Town,3,1,H
2791,Tottenham Hotspur,Bournemouth,5,0,H
2792,Watford,Chelsea,1,2,A
2793,Southampton,West Ham United,1,2,A
2794,Brighton & Hove Albion,Everton,1,0,H
2795,Fulham,Huddersfield Town,1,0,H
2796,Leicester City,Cardiff City,0,1,A
2797,Liverpool,Arsenal,5,1,H
2798,Tottenham Hotspur,Wolverhampton Wanderers,1,3,A
2799,Watford,Newcastle United,1,1,D
2800,Burnley,West Ham United,2,0,H
2801,Crystal Palace,Chelsea,0,1,A
2802,Manchester United,Bournemouth,4,1,H
2803,Southampton,Manchester City,1,3,A
2804,Arsenal,Fulham,4,1,H
2805,Cardiff City,Tottenham Hotspur,0,3,A
2806,Everton,Leicester City,0,1,A
2807,Bournemouth,Watford,3,3,D
2808,Chelsea,Southampton,0,0,D
2809,Huddersfield Town,Burnley,1,2,A
2810,Newcastle United,Manchester United,0,2,A
2811,West Ham United,Brighton & Hove Albion,2,2,D
2812,Wolverhampton Wanderers,Crystal Palace,0,2,A
2813,Manchester City,Liverpool,2,1,H
2814,Brighton & Hove Albion,Liverpool,0,1,A
2815,Burnley,Fulham,2,1,H
2816,Cardiff City,Huddersfield Town,0,0,D
2817,Chelsea,Newcastle United,2,1,H
2818,Crystal Palace,Watford,1,2,A
2819,Leicester City,Southampton,1,2,A
2820,West Ham United,Arsenal,1,0,H
2821,Everton,Bournemouth,2,0,H
2822,Tottenham Hotspur,Manchester United,0,1,A
2823,Manchester City,Wolverhampton Wanderers,3,0,H
2824,Arsenal,Chelsea,2,0,H
2825,Bournemouth,West Ham United,2,0,H
2826,Liverpool,Crystal Palace,4,3,H
2827,Manchester United,Brighton & Hove Albion,2,1,H
2828,Newcastle United,Cardiff City,3,0,H
2829,Southampton,Everton,2,1,H
2830,Watford,Burnley,0,0,D
2831,Wolverhampton Wanderers,Leicester City,4,3,H
2832,Fulham,Tottenham Hotspur,1,2,A
2833,Huddersfield Town,Manchester City,0,3,A
2834,Arsenal,Cardiff City,2,1,H
2835,Fulham,Brighton & Hove Albion,4,2,H
2836,Huddersfield Town,Everton,0,1,A
2837,Manchester United,Burnley,2,2,D
2838,Newcastle United,Manchester City,2,1,H
2839,Wolverhampton Wanderers,West Ham United,3,0,H
2840,Bournemouth,Chelsea,4,0,H
2841,Liverpool,Leicester City,1,1,D
2842,Southampton,Crystal Palace,1,1,D
2843,Tottenham Hotspur,Watford,2,1,H
2844,Brighton & Hove Albion,Watford,0,0,D
2845,Burnley,Southampton,1,1,D
2846,Cardiff City,Bournemouth,2,0,H
2847,Chelsea,Huddersfield Town,5,0,H
2848,Crystal Palace,Fulham,2,0,H
2849,Everton,Wolverhampton Wanderers,1,3,A
2850,Tottenham Hotspur,Newcastle United,1,0,H
2851,Leicester City,Manchester United,0,1,A
2852,Manchester City,Arsenal,3,1,H
2853,West Ham United,Liverpool,1,1,D
2854,Everton,Manchester City,0,2,A
2855,Brighton & Hove Albion,Burnley,1,3,A
2856,Crystal Palace,West Ham United,1,1,D
2857,Fulham,Manchester United,0,3,A
2858,Huddersfield Town,Arsenal,1,2,A
2859,Liverpool,Bournemouth,3,0,H
2860,Southampton,Cardiff City,1,2,A
2861,Watford,Everton,1,0,H
2862,Manchester City,Chelsea,6,0,H
2863,Tottenham Hotspur,Leicester City,3,1,H
2864,Wolverhampton Wanderers,Newcastle United,1,1,D
2865,Cardiff City,Watford,1,5,A
2866,West Ham United,Fulham,3,1,H
2867,Bournemouth,Wolverhampton Wanderers,1,1,D
2868,Burnley,Tottenham Hotspur,2,1,H
2869,Leicester City,Crystal Palace,1,4,A
2870,Newcastle United,Huddersfield Town,2,0,H
2871,Arsenal,Southampton,2,0,H
2872,Manchester United,Liverpool,0,0,D
2873,Cardiff City,Everton,0,3,A
2874,Huddersfield Town,Wolverhampton Wanderers,1,0,H
2875,Leicester City,Brighton & Hove Albion,2,1,H
2876,Newcastle United,Burnley,2,0,H
2877,Arsenal,Bournemouth,5,1,H
2878,Chelsea,Tottenham Hotspur,2,0,H
2879,Crystal Palace,Manchester United,1,3,A
2880,Liverpool,Watford,5,0,H
2881,Manchester City,West Ham United,1,0,H
2882,Southampton,Fulham,2,0,H
2883,Bournemouth,Manchester City,0,1,A
2884,Brighton & Hove Albion,Huddersfield Town,1,0,H
2885,Burnley,Crystal Palace,1,3,A
2886,Manchester United,Southampton,3,2,H
2887,Tottenham Hotspur,Arsenal,1,1,D
2888,West Ham United,Newcastle United,2,0,H
2889,Wolverhampton Wanderers,Cardiff City,2,0,H
2890,Everton,Liverpool,0,0,D
2891,Fulham,Chelsea,1,2,A
2892,Watford,Leicester City,2,1,H
2893,Cardiff City,West Ham United,2,0,H
2894,Crystal Palace,Brighton & Hove Albion,1,2,A
2895,Huddersfield Town,Bournemouth,0,2,A
2896,Leicester City,Fulham,3,1,H
2897,Manchester City,Watford,3,1,H
2898,Newcastle United,Everton,3,2,H
2899,Southampton,Tottenham Hotspur,2,1,H
2900,Arsenal,Manchester United,2,0,H
2901,Chelsea,Wolverhampton Wanderers,1,1,D
2902,Liverpool,Burnley,4,2,H
2903,Bournemouth,Newcastle United,2,2,D
2904,Burnley,Leicester City,1,2,A
2905,West Ham United,Huddersfield Town,4,3,H
2906,Everton,Chelsea,2,0,H
2907,Fulham,Liverpool,1,2,A
2908,Brighton & Hove Albion,Southampton,0,1,A
2909,Burnley,Wolverhampton Wanderers,2,0,H
2910,Crystal Palace,Huddersfield Town,2,0,H
2911,Fulham,Manchester City,0,2,A
2912,Leicester City,Bournemouth,2,0,H
2913,Manchester United,Watford,2,1,H
2914,West Ham United,Everton,0,2,A
2915,Cardiff City,Chelsea,1,2,A
2916,Liverpool,Tottenham Hotspur,2,1,H
2917,Arsenal,Newcastle United,2,0,H
2918,Watford,Fulham,4,1,H
2919,Wolverhampton Wanderers,Manchester United,2,1,H
2920,Chelsea,Brighton & Hove Albion,3,0,H
2921,Manchester City,Cardiff City,2,0,H
2922,Tottenham Hotspur,Crystal Palace,2,0,H
2923,Southampton,Liverpool,1,3,A
2924,Bournemouth,Burnley,1,3,A
2925,Huddersfield Town,Leicester City,1,4,A
2926,Newcastle United,Crystal Palace,0,1,A
2927,Everton,Arsenal,1,0,H
2928,Chelsea,West Ham United,2,0,H
2929,Leicester City,Newcastle United,0,1,A
2930,Brighton & Hove Albion,Bournemouth,0,5,A
2931,Burnley,Cardiff City,2,0,H
2932,Fulham,Everton,2,0,H
2933,Manchester United,West Ham United,2,1,H
2934,Southampton,Wolverhampton Wanderers,3,1,H
2935,Tottenham Hotspur,Huddersfield Town,4,0,H
2936,Crystal Palace,Manchester City,1,3,A
2937,Liverpool,Chelsea,2,0,H
2938,Watford,Arsenal,0,1,A
2939,Brighton & Hove Albion,Cardiff City,0,2,A
2940,Bournemouth,Fulham,0,1,A
2941,Huddersfield Town,Watford,1,2,A
2942,Manchester City,Tottenham Hotspur,1,0,H
2943,Newcastle United,Southampton,3,1,H
2944,West Ham United,Leicester City,2,2,D
2945,Wolverhampton Wanderers,Brighton & Hove Albion,0,0,D
2946,Arsenal,Crystal Palace,2,3,A
2947,Cardiff City,Liverpool,0,2,A
2948,Everton,Manchester United,4,0,H
2949,Chelsea,Burnley,2,2,D
2950,Tottenham Hotspur,Brighton & Hove Albion,1,0,H
2951,Watford,Southampton,1,1,D
2952,Manchester United,Manchester City,0,2,A
2953,Wolverhampton Wanderers,Arsenal,3,1,H
2954,Liverpool,Huddersfield Town,5,0,H
2955,Brighton & Hove Albion,Newcastle United,1,1,D
2956,Crystal Palace,Everton,0,0,D
2957,Fulham,Cardiff City,1,0,H
2958,Southampton,Bournemouth,3,3,D
2959,Tottenham Hotspur,West Ham United,0,1,A
2960,Watford,Wolverhampton Wanderers,1,2,A
2961,Burnley,Manchester City,0,1,A
2962,Leicester City,Arsenal,3,0,H
2963,Manchester United,Chelsea,1,1,D
2964,Everton,Burnley,2,0,H
2965,Bournemouth,Tottenham Hotspur,1,0,H
2966,Cardiff City,Crystal Palace,2,3,A
2967,Newcastle United,Liverpool,2,3,A
2968,West Ham United,Southampton,3,0,H
2969,Wolverhampton Wanderers,Fulham,1,0,H
2970,Arsenal,Brighton & Hove Albion,1,1,D
2971,Chelsea,Watford,3,0,H
2972,Huddersfield Town,Manchester United,1,1,D
2973,Manchester City,Leicester City,1,0,H
2974,Brighton & Hove Albion,Manchester City,1,4,A
2975,Burnley,Arsenal,1,3,A
2976,Crystal Palace,Bournemouth,5,3,H
2977,Fulham,Newcastle United,0,4,A
2978,Leicester City,Chelsea,0,0,D
2979,Liverpool,Wolverhampton Wanderers,2,0,H
2980,Manchester United,Cardiff City,0,2,A
2981,Southampton,Huddersfield Town,1,1,D
2982,Tottenham Hotspur,Everton,2,2,D
2983,Watford,West Ham United,1,4,A
